product_id,order_month,target_demand,predicted_demand
PRD-00001,2023-04,0.0,7.112536000172675
PRD-00001,2023-05,0.0,7.112536000172675
PRD-00001,2023-06,0.0,7.112536000172675
PRD-00001,2023-07,16.0,7.112536000172675
PRD-00001,2023-08,0.0,7.347650638698993
PRD-00001,2023-09,12.0,9.1485608380258
PRD-00001,2023-10,0.0,10.39672643736896
PRD-00001,2023-11,29.0,9.624598715561605
PRD-00001,2023-12,0.0,11.63068139739874
PRD-00001,2024-01,6.0,12.895731247412188
PRD-00001,2024-02,5.0,14.043623889488684
PRD-00001,2024-03,21.0,13.380766218435522
PRD-00001,2024-04,24.0,14.46573788322968
PRD-00001,2024-05,11.0,18.4571037671044
PRD-00001,2024-06,12.0,19.973944305999936
PRD-00001,2024-07,0.0,13.120765107155536
PRD-00001,2024-08,39.0,18.737225729584953
PRD-00001,2024-09,3.0,22.767367091004996
PRD-00001,2024-10,47.0,24.192994642345948
PRD-00001,2024-11,25.0,24.35189014238356
PRD-00001,2024-12,28.0,26.93976161727683
PRD-00001,2025-01,24.0,26.87509417961735
PRD-00001,2025-02,16.0,29.73452514740213
PRD-00001,2025-03,27.0,31.824174930766226
PRD-00001,2025-04,56.0,32.251463467620425
PRD-00001,2025-05,21.0,36.40835796192942
PRD-00001,2025-06,50.0,34.47065359796993
PRD-00001,2025-07,3.0,37.564432111364624
PRD-00001,2025-08,43.0,35.422913283408185
PRD-00001,2025-09,22.0,35.415003028419314
PRD-00001,2025-10,0.0,36.56050833548481
PRD-00001,2025-11,20.0,35.219237708307034
PRD-00001,2025-12,38.0,27.933486102664627
PRD-00001,2026-01,14.0,29.545085286417997
PRD-00001,2026-02,49.0,24.925266285760294
PRD-00001,2026-03,32.0,31.563290887584657
PRD-00001,2026-04,14.0,33.498197917540395
PRD-00001,2026-05,32.0,30.44758666324377
PRD-00001,2026-06,39.0,34.65551902317978
PRD-00001,2026-07,0.0,34.6232449940298
PRD-00002,2023-04,0.0,3.955969154039199
PRD-00002,2023-05,8.0,4.903854235259493
PRD-00002,2023-06,4.0,7.591435553708131
PRD-00002,2023-07,0.0,8.841289126059639
PRD-00002,2023-08,4.0,8.517061882659632
PRD-00002,2023-09,26.0,9.84054808390751
PRD-00002,2023-10,0.0,10.580584320328944
PRD-00002,2023-11,34.0,11.541616081394537
PRD-00002,2023-12,0.0,15.945621033794444
PRD-00002,2024-01,0.0,12.48877565324124
PRD-00002,2024-02,0.0,15.289156882078615
PRD-00002,2024-03,17.0,17.500561739812092
PRD-00002,2024-04,17.0,6.651023086027191
PRD-00002,2024-05,12.0,13.60755750867533
PRD-00002,2024-06,28.0,18.276457786430946
PRD-00002,2024-07,13.0,18.580213233786377
PRD-00002,2024-08,37.0,20.04841685251809
PRD-00002,2024-09,49.0,28.01386798296435
PRD-00002,2024-10,35.0,33.375687070335836
PRD-00002,2024-11,32.0,35.073206771303994
PRD-00002,2024-12,57.0,35.04467186333068
PRD-00002,2025-01,33.0,42.54954388603889
PRD-00002,2025-02,50.0,42.14872740304548
PRD-00002,2025-03,38.0,44.85951505048641
PRD-00002,2025-04,29.0,43.888316010528925
PRD-00002,2025-05,84.0,43.47358030825565
PRD-00002,2025-06,55.0,47.31425160578903
PRD-00002,2025-07,52.0,47.77013541427759
PRD-00002,2025-08,45.0,46.437142756399496
PRD-00002,2025-09,62.0,52.01807445775989
PRD-00002,2025-10,47.0,46.664082038464606
PRD-00002,2025-11,21.0,50.54699278821461
PRD-00002,2025-12,59.0,44.85282726329005
PRD-00002,2026-01,67.0,50.17566383231829
PRD-00002,2026-02,36.0,51.16781905138971
PRD-00002,2026-03,62.0,45.70074095034826
PRD-00002,2026-04,82.0,50.38823070719581
PRD-00002,2026-05,58.0,54.70287593377633
PRD-00002,2026-06,34.0,47.97322671275957
PRD-00002,2026-07,17.0,47.42198070661983
PRD-00003,2023-04,0.0,7.7967968525643325
PRD-00003,2023-05,0.0,14.169187460504101
PRD-00003,2023-06,0.0,11.102286196304377
PRD-00003,2023-07,0.0,10.2824002146785
PRD-00003,2023-08,15.0,7.844322609898968
PRD-00003,2023-09,13.0,9.430625508289525
PRD-00003,2023-10,12.0,10.91551230804804
PRD-00003,2023-11,15.0,11.186205990003218
PRD-00003,2023-12,0.0,14.262275281493862
PRD-00003,2024-01,4.0,12.6581896513493
PRD-00003,2024-02,4.0,14.830367593897865
PRD-00003,2024-03,37.0,15.845253774172923
PRD-00003,2024-04,92.0,17.41073533011064
PRD-00003,2024-05,19.0,21.806170964018637
PRD-00003,2024-06,68.0,34.92340674106701
PRD-00003,2024-07,43.0,38.902672215997534
PRD-00003,2024-08,49.0,41.7459669883904
PRD-00003,2024-09,61.0,46.185124293642595
PRD-00003,2024-10,77.0,48.6786098830965
PRD-00003,2024-11,30.0,50.155067662684466
PRD-00003,2024-12,47.0,45.971918354890384
PRD-00003,2025-01,38.0,51.52085158349727
PRD-00003,2025-02,29.0,44.30025287264908
PRD-00003,2025-03,62.0,46.35181037376535
PRD-00003,2025-04,73.0,48.8854230401802
PRD-00003,2025-05,93.0,51.72831653905115
PRD-00003,2025-06,58.0,50.43364450988599
PRD-00003,2025-07,103.0,51.31150189138138
PRD-00003,2025-08,57.0,53.26014783509217
PRD-00003,2025-09,72.0,57.44117219414748
PRD-00003,2025-10,17.0,54.663888725230265
PRD-00003,2025-11,82.0,59.802965036550404
PRD-00003,2025-12,65.0,54.23888556066987
PRD-00003,2026-01,65.0,56.29518632863037
PRD-00003,2026-02,53.0,59.83062755843019
PRD-00003,2026-03,27.0,50.865160241537545
PRD-00003,2026-04,61.0,45.35742439736434
PRD-00003,2026-05,73.0,48.67362994330924
PRD-00003,2026-06,48.0,56.446037493266374
PRD-00003,2026-07,17.0,50.75836518426936
PRD-00004,2023-04,0.0,3.8730548058822194
PRD-00004,2023-05,0.0,4.5010942776715215
PRD-00004,2023-06,17.0,7.112536000172675
PRD-00004,2023-07,3.0,8.251466013446128
PRD-00004,2023-08,0.0,9.264430886187238
PRD-00004,2023-09,0.0,9.060085083778244
PRD-00004,2023-10,22.0,9.90829934134956
PRD-00004,2023-11,0.0,9.966254808148523
PRD-00004,2023-12,4.0,11.126058060872529
PRD-00004,2024-01,9.0,11.839142464150152
PRD-00004,2024-02,15.0,11.185953655970067
PRD-00004,2024-03,0.0,11.737556177105366
PRD-00004,2024-04,8.0,13.115087333322776
PRD-00004,2024-05,8.0,14.406806789616287
PRD-00004,2024-06,30.0,12.411459605208982
PRD-00004,2024-07,30.0,15.150926188854577
PRD-00004,2024-08,26.0,20.8618684793824
PRD-00004,2024-09,19.0,23.33369410306815
PRD-00004,2024-10,23.0,25.389859595457775
PRD-00004,2024-11,71.0,26.075463634724326
PRD-00004,2024-12,41.0,34.67870628299018
PRD-00004,2025-01,3.0,37.849253529736195
PRD-00004,2025-02,40.0,38.74684074687528
PRD-00004,2025-03,38.0,35.89849676612398
PRD-00004,2025-04,17.0,37.16899670300178
PRD-00004,2025-05,19.0,39.56626802654435
PRD-00004,2025-06,43.0,39.67176221918854
PRD-00004,2025-07,22.0,34.33530872897582
PRD-00004,2025-08,32.0,33.79972029365681
PRD-00004,2025-09,68.0,34.87194362636053
PRD-00004,2025-10,23.0,37.779248317065615
PRD-00004,2025-11,49.0,37.56771072999386
PRD-00004,2025-12,35.0,42.014920315300635
PRD-00004,2026-01,42.0,41.720749144918365
PRD-00004,2026-02,7.0,40.43646728902264
PRD-00004,2026-03,25.0,42.0860004622136
PRD-00004,2026-04,41.0,38.85414523186604
PRD-00004,2026-05,12.0,35.22639876296485
PRD-00004,2026-06,51.0,36.57328962991604
PRD-00004,2026-07,0.0,35.921986138584295
PRD-00005,2023-04,5.0,9.570401649082227
PRD-00005,2023-05,12.0,11.370436855211423
PRD-00005,2023-06,9.0,9.087813889940234
PRD-00005,2023-07,1.0,10.60146267207003
PRD-00005,2023-08,14.0,10.401165719573875
PRD-00005,2023-09,14.0,11.508435442134918
PRD-00005,2023-10,17.0,13.72801131814056
PRD-00005,2023-11,0.0,16.00063244597167
PRD-00005,2023-12,40.0,15.888899493822937
PRD-00005,2024-01,33.0,23.22695215450238
PRD-00005,2024-02,13.0,24.207839502596247
PRD-00005,2024-03,0.0,25.03669902511868
PRD-00005,2024-04,37.0,25.766867672549456
PRD-00005,2024-05,26.0,26.491662174005093
PRD-00005,2024-06,9.0,26.555449774481225
PRD-00005,2024-07,31.0,27.891026588842443
PRD-00005,2024-08,73.0,26.939094172923415
PRD-00005,2024-09,33.0,30.713581382860188
PRD-00005,2024-10,81.0,35.63080924443614
PRD-00005,2024-11,43.0,43.159907486523416
PRD-00005,2024-12,63.0,47.070024157831305
PRD-00005,2025-01,54.0,46.66036584587778
PRD-00005,2025-02,35.0,48.07277561139539
PRD-00005,2025-03,41.0,46.00613561411387
PRD-00005,2025-04,49.0,49.12707528469136
PRD-00005,2025-05,54.0,53.3586043436968
PRD-00005,2025-06,14.0,44.710344397784745
PRD-00005,2025-07,34.0,43.89867511049745
PRD-00005,2025-08,63.0,44.4651173560103
PRD-00005,2025-09,43.0,44.3309155549512
PRD-00005,2025-10,63.0,45.953164277235494
PRD-00005,2025-11,17.0,51.18895704454254
PRD-00005,2025-12,52.0,43.542670116990394
PRD-00005,2026-01,14.0,43.050647071221604
PRD-00005,2026-02,21.0,41.94192519748589
PRD-00005,2026-03,82.0,43.189691605186034
PRD-00005,2026-04,59.0,46.3983282064711
PRD-00005,2026-05,31.0,46.49913858764893
PRD-00005,2026-06,57.0,42.553143313547196
PRD-00005,2026-07,17.0,46.4294078656876
PRD-00006,2023-04,0.0,4.3780658519665145
PRD-00006,2023-05,0.0,4.523837643691092
PRD-00006,2023-06,0.0,7.112536000172675
PRD-00006,2023-07,12.0,7.112536000172675
PRD-00006,2023-08,16.0,8.259374489070161
PRD-00006,2023-09,0.0,9.897812903924693
PRD-00006,2023-10,0.0,9.133949498799737
PRD-00006,2023-11,0.0,9.73919091416169
PRD-00006,2023-12,0.0,10.155958013603104
PRD-00006,2024-01,0.0,7.767383978345534
PRD-00006,2024-02,0.0,7.767383978345534
PRD-00006,2024-03,32.0,7.8005054514688705
PRD-00006,2024-04,0.0,9.510451866704745
PRD-00006,2024-05,0.0,8.157085992091972
PRD-00006,2024-06,16.0,8.432791796815046
PRD-00006,2024-07,0.0,9.737018184863038
PRD-00006,2024-08,17.0,11.057681780814796
PRD-00006,2024-09,16.0,14.57993796037056
