customer_id,cluster_id,persona,pca_x,pca_y,annual_revenue,customer_activity_score
CUS-000001,2,Stable Mid-Market (Group 3),-1.440719530880042,-0.783518512764202,3268098,24.601000000000003
CUS-000002,3,Active Growth SMB,0.3172068310824736,-0.24877775850902306,16025885,54.7535
CUS-000003,3,Active Growth SMB,-0.5625894046740829,0.5475225923776286,3134033,41.6305
CUS-000004,2,Stable Mid-Market (Group 3),-1.0241551622828469,-0.8925993462850026,24289792,34.7235
CUS-000005,1,Enterprise Champions,2.2466092705021605,-0.19815060364791923,687997643,56.23400000000001
CUS-000006,0,Stable Mid-Market,-1.2611374937832338,1.9909196256078647,2394501,15.4385
CUS-000007,0,Stable Mid-Market,-1.7557739837365414,1.3531939926185734,357108,7.752
CUS-000008,2,Stable Mid-Market (Group 3),-1.4775372837573624,-1.1973832895154926,4972128,23.792
CUS-000009,1,Enterprise Champions,4.080902195390627,-0.5253806480116608,969851692,80.4775
CUS-000010,3,Active Growth SMB,-0.5868007862675504,0.23176192995735048,20048172,35.3955
CUS-000011,3,Active Growth SMB,-0.6613990464082802,0.073758094428385,10825765,39.406000000000006
CUS-000012,3,Active Growth SMB,-0.7561227101103617,-0.05111014394839312,3871325,41.099
CUS-000013,0,Stable Mid-Market,-0.5797522720597816,0.7364549190429757,9145346,35.736000000000004
CUS-000014,0,Stable Mid-Market,-1.3622537874936036,2.4480628209203985,4831241,20.63
CUS-000015,2,Stable Mid-Market (Group 3),-0.9346052624690088,-1.6902440846811113,2922644,40.971500000000006
CUS-000016,1,Enterprise Champions,3.831920352424719,-0.3666441535803058,861693126,71.237
CUS-000017,2,Stable Mid-Market (Group 3),-0.9244175536578206,-1.0484281796729542,9372945,36.9835
CUS-000018,1,Enterprise Champions,2.4307649294247833,0.04004943695557739,496543927,51.8025
CUS-000019,2,Stable Mid-Market (Group 3),-1.3540577133289664,-1.252811138363788,1542508,28.329500000000003
CUS-000020,3,Active Growth SMB,-0.6278641232388101,0.5354540211959361,19483454,41.5345
CUS-000021,2,Stable Mid-Market (Group 3),-1.2927412559978306,-1.3026303040879137,3404876,29.5625
CUS-000022,0,Stable Mid-Market,-0.8881003285043051,0.3419041120203483,15959285,31.4065
CUS-000023,2,Stable Mid-Market (Group 3),-1.356830628714087,-1.4182953769209237,3755830,29.3555
CUS-000024,2,Stable Mid-Market (Group 3),-1.8904812581107544,-0.9728561551533637,1482477,12.736
CUS-000025,0,Stable Mid-Market,-1.2899814656714532,0.679996712308442,2159085,24.722500000000004
CUS-000026,1,Enterprise Champions,3.952642256314158,0.006872029218856527,991244583,61.67
CUS-000027,2,Stable Mid-Market (Group 3),-0.7290037892485011,-0.3828643456738107,4955665,38.2155
CUS-000028,3,Active Growth SMB,-0.02489214840605399,0.03900763469922397,405306089,28.759500000000003
CUS-000029,1,Enterprise Champions,3.781166216555695,-0.6117620202160464,930721660,75.52100000000002
CUS-000030,2,Stable Mid-Market (Group 3),-0.5229062486694036,-1.0194503437427862,6521396,46.069500000000005
CUS-000031,2,Stable Mid-Market (Group 3),-1.5349885631132067,-1.4060461021425739,3825036,26.4735
CUS-000032,0,Stable Mid-Market,-1.0796392285662328,0.7469703201730006,4313624,34.607
CUS-000033,2,Stable Mid-Market (Group 3),-1.55649075994237,-1.170345795163661,8228872,23.137
CUS-000034,2,Stable Mid-Market (Group 3),-0.9424394086246553,-0.7332762360144714,24261989,34.706500000000005
CUS-000035,2,Stable Mid-Market (Group 3),-0.6286772967400908,-0.6100814923892395,16881595,38.9995
CUS-000036,3,Active Growth SMB,-0.30032804773130833,-0.10852958333454249,36871520,43.4705
CUS-000037,1,Enterprise Champions,2.635039419841457,-0.3141906615003674,767432514,61.2335
CUS-000038,2,Stable Mid-Market (Group 3),-0.9811934128289762,-1.0547788713891706,3732128,37.1635
CUS-000039,1,Enterprise Champions,2.5458130442632614,-0.09703675330778787,465571029,64.057
CUS-000040,3,Active Growth SMB,-0.5482684837129648,-0.3183836175433906,16165715,40.253
CUS-000041,3,Active Growth SMB,-0.44784341758636964,0.11003884109831186,23627929,44.434
CUS-000042,2,Stable Mid-Market (Group 3),-1.456652599941128,-1.0379871948342423,3902306,27.171
CUS-000043,0,Stable Mid-Market,-1.337023177871014,0.9445099264459421,2015905,25.472
CUS-000044,3,Active Growth SMB,-0.20277585538838896,0.3681624378679271,19465891,45.2285
CUS-000045,2,Stable Mid-Market (Group 3),-1.0774028451578785,-1.0121830001828407,2323415,35.064499999999995
CUS-000046,0,Stable Mid-Market,-1.3712137515007432,1.130689601497406,2921413,16.25
CUS-000047,0,Stable Mid-Market,-0.7024104545776103,1.6268972617383286,10525931,25.4455
CUS-000048,3,Active Growth SMB,-0.009401379032597017,0.11455553828115492,3967297,52.029
CUS-000049,3,Active Growth SMB,-0.4715833916112009,0.3814531308034762,10428333,39.458
CUS-000050,3,Active Growth SMB,1.0302141047966051,0.6317392528489656,635200618,31.9285
CUS-000051,1,Enterprise Champions,2.032027908834342,-0.5981745994625736,797151924,50.6855
CUS-000052,1,Enterprise Champions,1.9083241264340653,-0.34003824608964545,496338335,56.8245
CUS-000053,0,Stable Mid-Market,-1.190173484282923,0.5621489674787626,510287,22.786
CUS-000054,3,Active Growth SMB,-0.3516025100115964,-0.16975111109581123,18978400,45.632
CUS-000055,2,Stable Mid-Market (Group 3),-1.6479659240908782,-1.384755301598706,4527577,22.609
CUS-000056,2,Stable Mid-Market (Group 3),-0.7163022171469435,-1.295914082159267,2909992,43.9085
CUS-000057,3,Active Growth SMB,-0.6760655552770917,0.470449924823664,19441343,39.107
CUS-000058,2,Stable Mid-Market (Group 3),-1.4737651559964469,-0.4940222608606696,19413681,16.311000000000003
CUS-000059,3,Active Growth SMB,1.259981088354727,0.7835515071281457,327519378,52.892
CUS-000060,1,Enterprise Champions,1.6382760051754623,-0.568475744707478,450332706,54.773500000000006
CUS-000061,3,Active Growth SMB,-0.5688437782619022,0.09681387460411492,20536209,41.295
CUS-000062,3,Active Growth SMB,-0.5647440586328656,-0.042355177213562724,7179836,40.722
CUS-000063,0,Stable Mid-Market,-0.8533842512276184,1.6576236932227981,5957931,29.957
CUS-000064,3,Active Growth SMB,-0.4913941358559294,0.35700241378576114,390787,44.6705
CUS-000065,2,Stable Mid-Market (Group 3),-1.1502463147206479,-1.9790785384063967,5726934,37.20100000000001
CUS-000066,3,Active Growth SMB,0.5180235845884944,0.7640535715745225,5449118,62.144
CUS-000067,2,Stable Mid-Market (Group 3),-0.9791791384465549,0.007004485014981591,22393544,26.8625
CUS-000068,3,Active Growth SMB,0.5876596737495586,0.48435489518833363,3872870,67.4075
CUS-000069,3,Active Growth SMB,0.5348191984308389,0.4268661394873734,173279593,38.543
CUS-000070,3,Active Growth SMB,0.284446162594925,-0.38871195603025527,3706872,59.74
CUS-000071,1,Enterprise Champions,2.165719358990758,-0.14810356440309952,575505856,63.4925
CUS-000072,0,Stable Mid-Market,-0.9359715726521349,2.923303701058671,15147516,21.7635
CUS-000073,2,Stable Mid-Market (Group 3),-1.320315781154974,-0.8433944547780693,1172947,29.1305
CUS-000074,1,Enterprise Champions,4.756000485830618,0.4266755874708104,955504756,64.26249999999999
CUS-000075,1,Enterprise Champions,3.8229734668775706,-0.5231343458216186,897649398,74.3965
CUS-000076,3,Active Growth SMB,-0.4678525100034789,0.2755974841270814,12063886,41.314
CUS-000077,2,Stable Mid-Market (Group 3),-0.8174460259380946,-0.8165139775024053,5650734,41.3625
CUS-000078,2,Stable Mid-Market (Group 3),-1.0047364813154602,-0.9384565492079956,18467416,38.092
CUS-000079,0,Stable Mid-Market,-0.5196688276041849,1.4848957903941504,23740800,40.7145
CUS-000080,2,Stable Mid-Market (Group 3),-1.4199083757037527,0.28826655471913,373517,23.714
CUS-000081,0,Stable Mid-Market,-0.992719428919802,1.063748025141567,7041564,33.0725
CUS-000082,3,Active Growth SMB,0.13239942913900457,1.1547681275777182,16874745,49.631
CUS-000083,2,Stable Mid-Market (Group 3),-1.381552508695333,-2.096617474252406,4665242,31.1845
CUS-000084,1,Enterprise Champions,1.8909545202779448,0.6211701203019223,503761651,46.3035
CUS-000085,3,Active Growth SMB,0.7272313670760061,0.33241473676622013,178900331,47.9955
CUS-000086,0,Stable Mid-Market,-0.2986157827346747,1.5129137610061727,271415513,24.848500000000005
CUS-000087,0,Stable Mid-Market,-0.9114541654567575,0.6077995820984822,406944,35.783500000000004
CUS-000088,3,Active Growth SMB,0.06185009278506996,0.4846318486649049,13200814,45.8235
CUS-000089,1,Enterprise Champions,4.268425330887376,0.0012117968374994999,997532417,67.451
CUS-000090,3,Active Growth SMB,-0.3545014264205835,-0.18374035631230604,18943919,48.7935
CUS-000091,1,Enterprise Champions,3.727695617758054,0.2583944512391247,764189369,79.3035
CUS-000092,0,Stable Mid-Market,-1.0898538674773788,4.714948982595351,14418983,18.824500000000004
