timestamp,model_name,parameters,accuracy,precision,recall,f1,roc_auc
2026-08-04T14:42:14.349029,xgboost_trial,"{""n_estimators"": 190, ""max_depth"": 4, ""learning_rate"": 0.07802858798468407, ""subsample"": 0.9414560167992259, ""colsample_bytree"": 0.9549814908330813, ""scale_pos_weight"": 0.34087575948041066, ""random_state"": 42, ""eval_metric"": ""logloss"", ""use_label_encoder"": false}",1.0,1.0,1.0,1.0,1.0
2026-08-04T14:42:15.690836,xgboost_trial,"{""n_estimators"": 243, ""max_depth"": 4, ""learning_rate"": 0.19689257611383099, ""subsample"": 0.9943483218489473, ""colsample_bytree"": 0.8392760656872309, ""scale_pos_weight"": 0.34087575948041066, ""random_state"": 42, ""eval_metric"": ""logloss"", ""use_label_encoder"": false}",1.0,1.0,1.0,1.0,1.0
2026-08-04T14:42:17.594766,xgboost_trial,"{""n_estimators"": 220, ""max_depth"": 6, ""learning_rate"": 0.019890174141569232, ""subsample"": 0.9817792675728045, ""colsample_bytree"": 0.7487229427762615, ""scale_pos_weight"": 0.34087575948041066, ""random_state"": 42, ""eval_metric"": ""logloss"", ""use_label_encoder"": false}",1.0,1.0,1.0,1.0,1.0
2026-08-04T14:42:22.484446,random_forest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 150, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",0.99984375,1.0,0.9997905759162304,0.9998952331063384,1.0
2026-08-04T14:42:24.370359,xgboost,"{""objective"": ""binary:logistic"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": null, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": true, ""eval_metric"": ""logloss"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": null, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": null, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 150, ""n_jobs"": null, ""num_parallel_tree"": null, ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": 0.34087575948041066, ""subsample"": null, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": null, ""use_label_encoder"": false}",1.0,1.0,1.0,1.0,1.0
2026-08-04T14:42:25.741778,xgboost_optimized,"{""objective"": ""binary:logistic"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.9549814908330813, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": true, ""eval_metric"": ""logloss"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.07802858798468407, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 4, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 190, ""n_jobs"": null, ""num_parallel_tree"": null, ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.9414560167992259, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": null, ""use_label_encoder"": false}",1.0,1.0,1.0,1.0,1.0
2026-08-04T14:43:29.388836,xgboost_trial,"{""n_estimators"": 152, ""max_depth"": 6, ""learning_rate"": 0.013547297280378167, ""subsample"": 0.9242169304010587, ""colsample_bytree"": 0.8724033884264155, ""scale_pos_weight"": 0.34087575948041066, ""random_state"": 42, ""eval_metric"": ""logloss"", ""use_label_encoder"": false}",1.0,1.0,1.0,1.0,1.0
2026-08-04T14:43:31.836214,xgboost_trial,"{""n_estimators"": 291, ""max_depth"": 4, ""learning_rate"": 0.01845441429144452, ""subsample"": 0.8794229005590961, ""colsample_bytree"": 0.8912790074844321, ""scale_pos_weight"": 0.34087575948041066, ""random_state"": 42, ""eval_metric"": ""logloss"", ""use_label_encoder"": false}",1.0,1.0,1.0,1.0,1.0
2026-08-04T14:43:34.311332,xgboost_trial,"{""n_estimators"": 300, ""max_depth"": 3, ""learning_rate"": 0.017740692277756372, ""subsample"": 0.971698177616056, ""colsample_bytree"": 0.9129002036824401, ""scale_pos_weight"": 0.34087575948041066, ""random_state"": 42, ""eval_metric"": ""logloss"", ""use_label_encoder"": false}",1.0,1.0,1.0,1.0,1.0
2026-08-04T14:43:38.971365,random_forest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 150, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",0.99984375,1.0,0.9997905759162304,0.9998952331063384,1.0
